;Speaker;Utterance;Type of repair;Same-turn - specify type;TRP - specify type;Third-turn - specify type;Third-position - specify type;pause;search;repeat;cause;other;comments
Adam3;CHI;hey;;;;;;;;;;;
Adam3;CHI;I don't;;;;;;;;;;irregular continuation;
Adam3;CHI;see one;;;;;;;;;;irregular continuation;
Adam3;CHI;here's a colorful cup;;;;;;;;;;;
Adam3;CHI;here's a colorful one;TRP;;replacing;;;;;;;;
Adam3;CHI;they should;same-turn;aborting;;;;;;;;;
Adam3;CHI;they should;same-turn;aborting;;;;;repetition search;big repeat;;;
Adam3;CHI;they should all take;same-turn;aborting;;;;;repetition search;big repeat;;;
Adam3;CHI;could;same-turn;aborting;;;;;;;;;
Adam3;CHI;the;same-turn;aborting;;;;;;;;;
Adam3;CHI;the;same-turn;aborting;;;;;repetition search;small repeat;stuttering;;
Adam3;CHI;the;same-turn;aborting;;;;;repetition search;small repeat;stuttering;;
Adam3;CHI;the;same-turn;aborting;;;;;repetition search;small repeat;stuttering;;
Adam3;CHI;I see;same-turn;aborting;;;;;;;;;
Adam3;CHI;a;same-turn;aborting;;;;;;;;;
Adam3;CHI;a;same-turn;recycling;;;;;;small repeat;stuttering;;
Adam3;CHI;a c;same-turn;recycling;;;;;;small repeat;stuttering;;
Adam3;CHI;I see;same-turn;aborting;;;;;;;;;
Adam3;CHI;I see;;;;;;;;;;;
Adam3;CHI;a;;;;;;;;;;;
Adam3;CHI;a;;;;;;;;;;;
Adam3;CHI;a c;;;;;;;;;;;
Adam3;CHI;I see;Third-turn;;;recycling;;;;big repeat;;;
Adam3;CHI;I'm;same-turn;aborting;;;;;;;;;
Adam3;CHI;I'm going to get some;same-turn;recycling;;;;;;small repeat;;;
Adam3;CHI;lots of;same-turn;replacing;;;;;;;;;
Adam3;CHI;hot chocolate;;;;;;;;;;irregular continuation;
Adam3;CHI;that;same-turn;aborting;;;;;;;;irregular continuation;
Adam3;CHI;elephant;;;;;;;;;;irregular continuation;
Adam3;CHI;can we;;;;;;;;;;;
