file,Speaker,Utterance,type,reptype,pause,search,repeat,cause,other
Adam3,CHI,the snake,same-turn,recycling,NA,NA,small repeat,NA,NA
Adam3,CHI,do as long as i,same-turn,aborting,short pause,NA,NA,NA,NA
Adam3,CHI,with,NA,NA,short pause,repetition search,NA,NA,NA
Adam3,CHI,with,TRP,recycling,short pause,repetition search,small repeat,NA,NA
Adam3,CHI,no ice cream for you and,NA,NA,short pause,NA,NA,NA,NA
Adam3,CHI,but,same-turn,aborting,short pause,NA,NA,NA,NA
Adam3,CHI,no,TRP,reformatting,NA,NA,NA,NA,NA
Adam3,CHI,but,same-turn,recycling,NA,NA,small repeat,NA,NA
Adam3,CHI,I'll be,same-turn,aborting,short pause,NA,NA,NA,NA
Adam3,CHI,do you want to be the baby,same-turn,reformatting,NA,NA,NA,NA,NA
Adam3,CHI,"that, eh,",same-turn,searching,short pause,small search,NA,NA,NA
Adam3,CHI,I'm going to go,NA,NA,short pause,NA,NA,NA,NA
Adam3,CHI,get,NA,NA,short pause,NA,NA,NA,NA
Adam3,CHI,the cup,same-turn,aborting,short pause,NA,NA,NA,NA
Adam3,CHI,the more cupcakes,same-turn,inserting,NA,NA,NA,NA,NA
Adam3,CHI,from the,same-turn,aborting,NA,NA,NA,NA,NA
Adam3,CHI,the,Third-turn,recycling,NA,repetition search,small repeat,NA,NA
Adam3,CHI,the,same-turn,recycling,NA,repetition search,small repeat,NA,NA
Adam3,CHI,[the],same-turn,aborting,NA,NA,NA,overlap,NA
Adam3,CHI,the s- the same ones,Third-turn,recycling,NA,NA,NA,NA,NA
Adam3,CHI,the s- the same ones,same-turn,recycling,NA,NA,small repeat,stuttering,NA
Adam3,CHI,um,same-turn,searching,NA,small search,NA,NA,NA
Adam3,CHI,this w-,same-turn,aborting,NA,NA,NA,NA,NA
Adam3,CHI,there are plenty of them,TRP,reformatting,NA,NA,NA,NA,NA
Adam3,CHI,there's a ch- lot,same-turn,replacing,NA,NA,NA,misspeak,NA
Adam3,CHI,with plenty,NA,NA,short pause,NA,NA,NA,NA
Adam3,CHI,there's plenty of chocolate ones,TRP,reformatting,short pause,NA,NA,NA,NA
Adam3,CHI,[I get some more] apple juice,Third-turn,recycling,NA,NA,big repeat,overlap,NA
Adam3,CHI,into the- your cup,same-turn,recycling,NA,NA,small repeat,NA,NA
Adam3,CHI,into the- your cup,same-turn,replacing,NA,NA,NA,NA,NA
Adam3,CHI,but,NA,NA,short pause,NA,NA,NA,NA
Adam3,CHI,but,same-turn,recycling,short pause,NA,small repeat,NA,NA
Adam3,CHI,the snake ranned out,NA,NA,short pause,NA,NA,NA,NA
Adam3,CHI,some pink,same-turn,aborting,short pause,NA,NA,NA,NA
Adam3,CHI,look at the,same-turn,sequence-jumping,short pause,NA,NA,NA,NA
Adam3,CHI,snake ranned out,same-turn,sequence-jumping,short pause,NA,NA,NA,NA
Adam3,CHI,snake ranned out,Third-turn,recycling,NA,NA,big repeat,NA,NA
Adam3,CHI,they should,same-turn,aborting,short pause,NA,NA,NA,NA
Adam3,CHI,they should,same-turn,recycling,short pause,NA,big repeat,NA,NA
Adam3,CHI,they should all take,same-turn,recycling,short pause,NA,NA,NA,NA
Adam3,CHI,could,TRP,replacing,short pause,NA,NA,NA,NA
Adam3,CHI,the,same-turn,recycling,NA,repetition search,small repeat,NA,NA
Adam3,CHI,the,same-turn,recycling,NA,repetition search,small repeat,NA,NA
Adam3,CHI,the,same-turn,recycling,NA,repetition search,small repeat,NA,NA
Adam3,CHI,all the pink cups on the ground,NA,NA,short pause,NA,NA,NA,NA
Adam3,CHI,who are nice and clean and,NA,NA,short pause,NA,NA,NA,NA
Adam3,CHI,nice,TRP,recycling,short pause,NA,NA,NA,NA
Adam3,CHI,dirty,TRP,replacing,short pause,NA,NA,NA,NA
Adam3,CHI,and wash them off,NA,NA,short pause,NA,NA,NA,NA
Adam3,CHI,m off,TRP,recycling,short pause,repetition search,small repeat,NA,NA
Adam3,CHI,and wash them off,TRP,recycling,short pause,repetition search,big repeat,NA,NA
Adam3,CHI,at home,NA,NA,short pause,NA,NA,NA,NA
Adam3,CHI,I see,NA,NA,short pause,NA,NA,NA,NA
Adam3,CHI,a,same-turn,searching,NA,repetition search,NA,NA,NA
Adam3,CHI,a,same-turn,searching,NA,repetition search,small repeat,stuttering,NA
